Unnamed,Date,Stock_symbol,sentiment_score,sentiment_label
12156.0,2023-12-11 00:00:00 UTC,AAPL,0.5423,positive
12157.0,2023-12-11 00:00:00 UTC,AAPL,0.4588,positive
12158.0,2023-12-11 00:00:00 UTC,AAPL,0.0,neutral
12159.0,2023-12-11 00:00:00 UTC,AAPL,0.0,neutral
12160.0,2023-12-11 00:00:00 UTC,AAPL,0.3818,positive
12161.0,2023-12-11 00:00:00 UTC,AAPL,0.0,neutral
12162.0,2023-12-11 00:00:00 UTC,AAPL,0.0,neutral
12163.0,2023-12-11 00:00:00 UTC,AAPL,0.0,neutral
12164.0,2023-12-11 00:00:00 UTC,AAPL,0.0,neutral
12165.0,2023-12-11 00:00:00 UTC,AAPL,0.4926,positive
12166.0,2023-12-11 00:00:00 UTC,AAPL,0.7269,positive
12167.0,2023-12-11 00:00:00 UTC,AAPL,0.4576,positive
12168.0,2023-12-11 00:00:00 UTC,AAPL,0.0,neutral
12169.0,2023-12-11 00:00:00 UTC,AAPL,0.0,neutral
12170.0,2023-12-11 00:00:00 UTC,AAPL,0.5106,positive
12171.0,2023-12-11 00:00:00 UTC,AAPL,0.0,neutral
12172.0,2023-12-11 00:00:00 UTC,AAPL,0.0,neutral
12173.0,2023-12-11 00:00:00 UTC,AAPL,0.0,neutral
12174.0,2023-12-11 00:00:00 UTC,AAPL,0.0,neutral
12175.0,2023-12-10 00:00:00 UTC,AAPL,0.7184,positive
12176.0,2023-12-10 00:00:00 UTC,AAPL,0.0,neutral
12177.0,2023-12-10 00:00:00 UTC,AAPL,0.0,neutral
12178.0,2023-12-10 00:00:00 UTC,AAPL,0.4767,positive
12179.0,2023-12-10 00:00:00 UTC,AAPL,-0.5267,negative
12180.0,2023-12-10 00:00:00 UTC,AAPL,-0.2585,negative
12181.0,2023-12-10 00:00:00 UTC,AAPL,0.2023,positive
12182.0,2023-12-10 00:00:00 UTC,AAPL,0.7269,positive
12183.0,2023-12-09 00:00:00 UTC,AAPL,0.3818,positive
12184.0,2023-12-09 00:00:00 UTC,AAPL,0.6249,positive
12185.0,2023-12-09 00:00:00 UTC,AAPL,0.2716,positive
12186.0,2023-12-09 00:00:00 UTC,AAPL,0.0,neutral
12187.0,2023-12-08 00:00:00 UTC,AAPL,0.7184,positive
12188.0,2023-12-08 00:00:00 UTC,AAPL,0.0,neutral
12189.0,2023-12-08 00:00:00 UTC,AAPL,0.5994,positive
12190.0,2023-12-08 00:00:00 UTC,AAPL,0.0,neutral
12191.0,2023-12-08 00:00:00 UTC,AAPL,0.6369,positive
12192.0,2023-12-08 00:00:00 UTC,AAPL,0.0,neutral
12193.0,2023-12-08 00:00:00 UTC,AAPL,0.0,neutral
12194.0,2023-12-08 00:00:00 UTC,AAPL,0.5267,positive
12195.0,2023-12-08 00:00:00 UTC,AAPL,0.0,neutral
12196.0,2023-12-08 00:00:00 UTC,AAPL,0.0,neutral
12197.0,2023-12-08 00:00:00 UTC,AAPL,0.0,neutral
12198.0,2023-12-08 00:00:00 UTC,AAPL,0.0,neutral
12199.0,2023-12-07 00:00:00 UTC,AAPL,0.0,neutral
12200.0,2023-12-07 00:00:00 UTC,AAPL,0.0,neutral
